,0
CustomerID,0.013500000000000012
Age,0.009000000000000008
LoginFrequency,0.009000000000000008
Txn_Count,0.007500000000000007
Days_Since_LastLogin,0.007500000000000007
ServiceUsage_Online Banking,0.006500000000000006
Avg_Spend,0.005500000000000005
ServiceUsage_Website,0.005500000000000005
IncomeLevel_Medium,0.004500000000000004
IncomeLevel_High,0.004500000000000004
Distinct_Categories,0.004500000000000004
Resolved_Count__was_missing,0.0040000000000000036
ServiceUsage_Mobile App,0.0040000000000000036
Gender_M,0.0030000000000000027
Gender_F,0.0030000000000000027
Resolved_Count,0.0020000000000000018
Total_Interactions__was_missing,0.0
Unresolved_Count__was_missing,0.0
Last_Interaction_Date__freq,0.0
MaritalStatus_Married,-0.0005000000000000004
MaritalStatus_Single,-0.0010000000000000009
IncomeLevel_Low,-0.0020000000000000018
Unresolved_Count,-0.003500000000000003
MaritalStatus_Widowed,-0.004500000000000004
Total_Spend,-0.0050000000000000044
Total_Interactions,-0.007000000000000006
MaritalStatus_Divorced,-0.007000000000000006
